,NCLO,Sigma RiXi,Sigma RiXi pov,Single Sigma RiXi,Single Sigma RiXi pov,Price_Single_Mission,Price_Single_Mission_Players_View,protocol_type,protocol_name,Algorithm,map_size,max_nclo,converge_threshold
0,0,0.0,0.0,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
1,100,899684.3157452412,899684.3157452412,2822.2483987534742,3310.322309407886,0.9103876962141528,0.9164762256584804,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
2,200,919084.2185774138,919084.2185774138,2843.112297542257,3390.2855592990363,0.9164762256584804,0.9198245782741977,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
3,300,934996.1252505197,934996.1252505197,2859.3464728800864,3455.430883024737,0.9198245782741977,0.9213137499478437,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
4,400,947718.2473316621,947718.2473316621,2872.157412286241,3508.202752562184,0.9213137499478437,0.9218375157122289,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
5,500,957860.3554271656,957860.3554271656,2882.482689153252,3551.0941533953855,0.9218375157122289,0.9219166457138791,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
6,600,965997.8307791096,965997.8307791096,2890.9815593307785,3586.2000127254464,0.9219166457138791,0.9218041626857991,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
7,700,972589.8351717014,972589.8351717014,2898.10456981697,3615.163554307671,0.9218041626857991,0.9216167933827011,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
8,800,977984.6901210549,977984.6901210549,2904.1611171825784,3639.2460985315715,0.9216167933827011,0.9214084411984107,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
9,900,986172.8815190203,986166.1466316502,2913.8830445818026,3676.414961004255,0.9212042685830493,0.9210157889525927,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
10,1000,989310.9819107302,989310.9819107302,2917.8224474127437,3690.829428093657,0.9210157889525927,0.9208476835012086,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
11,1100,991952.4003734541,991937.0199843091,2921.276637279735,3703.116216406084,0.9208476835012086,0.9207016415000189,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
12,1200,994233.5527916338,994228.4285541764,2924.3168899754683,3713.639942537664,0.9207016415000189,0.920088032346324,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
13,1300,996168.9431090888,996119.488065142,2927.000876475434,3722.693252702802,0.920088032346324,0.9200405841414707,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
14,1400,997874.7767862779,997870.8114479964,2929.3761291525902,3730.5129237084834,0.9200405841414707,0.9202896245364119,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
15,1500,999317.430214116,999272.3778622549,2931.482400509345,3737.2919297322283,0.9202896245364119,0.920497550742864,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
16,1600,1000593.2598454976,1000589.1238703458,2933.3533197419943,3743.1885980042944,0.920497550742864,0.9203469623569138,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
17,1700,1001698.9778123933,1001676.2825588868,2935.017593478183,3748.3336334113055,0.9203469623569138,0.9202548270847806,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
18,1800,1003552.5741751469,1003546.2194916611,2938.0357733308124,3757.278784170775,0.920386042008904,0.9202455590801888,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
19,1900,1004289.6762137195,1004287.8308961795,2939.1751225801536,3760.724567806941,0.9202455590801888,0.9201726156207191,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
20,2000,1004954.8594979765,1004954.8594979765,2940.1556474294307,3763.7100388131275,0.9201726156207191,0.9201227832784613,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
21,2100,1005524.1101756173,1005502.2798174997,2941.060957998129,3766.3614310585176,0.9201227832784613,0.9200872559481323,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
22,2200,1006046.4033213931,1006020.4475740577,2941.8884005632754,3768.720911972619,0.9200872559481323,0.9200611209092725,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
23,2300,1006520.3121650799,1006493.9547158198,2942.636265886267,3770.8177746026813,0.9200611209092725,0.9200308734904936,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
24,2400,1006932.29558566,1006918.7304728057,2943.3089192135553,3772.681228212723,0.9200308734904936,0.9200938382353091,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
25,2500,1007302.3509188979,1007270.508555556,2943.912766717368,3774.3383369417725,0.9200938382353091,0.9200407883283952,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
26,2600,1007646.3933171603,1007646.3933171603,2944.4545067109507,3775.8132750398827,0.9200407883283952,0.9200293427356498,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
27,2700,1008180.1501556961,1008175.5528263213,2945.376516292482,3778.299112125358,0.9200183770922437,0.9200099924674014,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
28,2800,1008405.2988947936,1008405.2988947936,2945.767813222482,3779.3449557052745,0.9200099924674014,0.9200037362197144,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
29,2900,1008517.4706294504,1008517.4706294504,2945.967529537755,3780.56690339641,0.9200036641497564,0.9199990157224854,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
30,3000,1008617.4216450145,1008617.4216450145,2946.146421151113,3781.6634600010148,0.9199989436525273,0.919995471067903,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
31,3100,1008706.6838038724,1008699.9769288461,2946.30673401531,3782.647768996873,0.919995398997945,0.9199927850943536,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
32,3200,1008786.2005998706,1008786.2005998706,2946.4504580502044,3783.5315455565196,0.9199927130243954,0.9199907303674459,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
33,3300,1008859.0931674757,1008859.0931674757,2946.579358819715,3784.3252407656773,0.9199906582974878,0.919989144335182,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
34,3400,1008923.6985054498,1008923.6985054498,2946.695004860415,3785.0381854373954,0.919989072265224,0.9199879101497148,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
35,3500,1008981.3942174339,1008981.3942174339,2946.7987913279103,3785.678716293526,0.9199878380797566,0.919986942973648,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
36,3600,1009033.0426939541,1009033.0426939541,2946.891960514803,3786.2542868772234,0.9199868709036899,0.9199861804800995,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
37,3700,1009033.0426939541,1009033.0426939541,2946.891960514803,3786.2542868772234,0.9199868709036899,0.9199861804800995,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
38,3800,1009033.0426939541,1009033.0426939541,2946.891960514803,3786.2542868772234,0.9199868709036899,0.9199861804800995,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
39,3900,1009033.0426939541,1009033.0426939541,2946.891960514803,3786.2542868772234,0.9199868709036899,0.9199861804800995,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
40,4000,1009033.0426939541,1009033.0426939541,2946.891960514803,3786.2542868772234,0.9199868709036899,0.9199861804800995,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
41,4100,1009033.0426939541,1009033.0426939541,2946.891960514803,3786.2542868772234,0.9199868709036899,0.9199861804800995,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
42,4200,1009033.0426939541,1009033.0426939541,2946.891960514803,3786.2542868772234,0.9199868709036899,0.9199861804800995,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
43,4300,1009033.0426939541,1009033.0426939541,2946.891960514803,3786.2542868772234,0.9199868709036899,0.9199861804800995,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
44,4400,1009033.0426939541,1009033.0426939541,2946.891960514803,3786.2542868772234,0.9199868709036899,0.9199861804800995,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
45,4500,1009033.0426939541,1009033.0426939541,2946.891960514803,3786.2542868772234,0.9199868709036899,0.9199861804800995,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
46,4600,1009033.0426939541,1009033.0426939541,2946.891960514803,3786.2542868772234,0.9199868709036899,0.9199861804800995,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
47,4700,1009033.0426939541,1009033.0426939541,2946.891960514803,3786.2542868772234,0.9199868709036899,0.9199861804800995,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
48,4800,1009033.0426939541,1009033.0426939541,2946.891960514803,3786.2542868772234,0.9199868709036899,0.9199861804800995,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
49,4900,1009033.0426939541,1009033.0426939541,2946.891960514803,3786.2542868772234,0.9199868709036899,0.9199861804800995,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
